base_code,sku,kitchen,platform_name,daypart,matched_strata,promo_rows,promo_units,promo_active_hours,baseline_units,incremental_units,promo_contribution_thb,baseline_contribution_thb,incremental_contribution_thb,promo_discount_cost_thb,promo_cups_per_active_hour,baseline_cups_per_active_hour,actual_demand_lift_pct,promo_contribution_per_cup_thb,baseline_contribution_per_cup_thb,break_even_lift_pct,contribution_lift_pct,actual_vs_breakeven_gap_pct,promo_roi_on_discount,decision
RC101,Guava,Pattaya_Beach,Grab,Afternoon,3,3,10,3,12.0,-2.0,110.44,203.39000000000001,-92.95000000000003,73.50000000000001,3.3333333333333335,4.0,-0.16666666666666663,11.044,16.949166666666667,0.5346945551128817,-0.45700378583017853,-0.7013612217795483,-1.2646258503401362,REDUCE / PAUSE BLANKET USE
RC101,Guava,Pattaya_Beach,Grab,Dinner,4,4,42,4,17.25,24.75,463.84800000000007,291.93250000000006,171.91550000000007,308.70000000000005,10.5,4.3125,1.4347826086956523,11.044000000000002,16.923623188405802,0.5323816722569539,0.5888878422238017,0.9024009364386985,0.5569015225137676,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Beach,Grab,Late Evening,2,2,10,2,10.5,-0.5,110.44000000000001,176.71500000000003,-66.27500000000003,73.50000000000001,5.0,5.25,-0.04761904761904767,11.044,16.830000000000002,0.5239043824701197,-0.37503890445066923,-0.5715234300891674,-0.9017006802721091,REDUCE / PAUSE BLANKET USE
RC101,Guava,Pattaya_Beach,Grab,Late Night,3,3,12,3,3.666666666666667,8.333333333333334,132.52800000000002,62.39250000000001,70.13550000000001,88.20000000000002,4.0,1.2222222222222223,2.2727272727272725,11.044000000000002,17.016136363636367,0.5407584537881531,1.124101454501743,1.7319688189391194,0.7951870748299319,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Beach,Grab,Lunch,4,4,24,4,17.5,6.5,265.05600000000004,296.33750000000003,-31.281500000000015,176.40000000000003,6.0,4.375,0.37142857142857144,11.044000000000002,16.93357142857143,0.5332824545971955,-0.10556038300923776,-0.16185388316862404,-0.17733276643990936,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Beach,Grab,Morning,5,5,7,5,8.25,-1.25,77.308,138.77333333333334,-61.46533333333335,51.45000000000001,1.4,1.65,-0.1515151515151515,11.044,16.821010101010103,0.5230903749556413,-0.4429189085318985,-0.6746055264707927,-1.1946614836410756,REDUCE / PAUSE BLANKET USE
RC101,Guava,Pattaya_Beach,LINE MAN,Afternoon,9,9,56,9,43.5,12.5,455.2200000000001,589.885,-134.66499999999994,411.6000000000001,6.222222222222222,4.833333333333333,0.28735632183908044,8.128928571428572,13.560574712643678,0.6681872147709809,-0.22829025996592545,-0.3808308929319004,-0.32717444120505323,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Beach,LINE MAN,Dinner,12,12,81,12,56.16666666666667,24.833333333333332,652.455,758.7850000000001,-106.32999999999996,595.3500000000001,6.75,4.680555555555556,0.4421364985163203,8.055,13.509525222551929,0.677160176604833,-0.14013192142701825,-0.23502367808851266,-0.17860082304526737,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Beach,LINE MAN,Late Evening,5,5,61,5,30.916666666666668,30.083333333333332,489.6550000000001,420.3475,69.30750000000003,448.3500000000001,12.2,6.183333333333334,0.9730458221024259,8.027131147540985,13.596145552560648,0.6937739402358791,0.1648814373821661,0.2792718818665467,0.15458347273335568,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Beach,LINE MAN,Late Night,9,9,16,9,14.0,2.0,130.20000000000005,190.32333333333335,-60.12333333333331,117.60000000000002,1.7777777777777777,1.5555555555555556,0.1428571428571428,8.137500000000003,13.59452380952381,0.6706020042425567,-0.31590101056097497,-0.5277448613854139,-0.5112528344671199,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Beach,LINE MAN,Lunch,12,12,104,12,72.33333333333333,31.666666666666668,836.44,977.2708333333334,-140.83083333333335,764.4000000000001,8.666666666666666,6.027777777777778,0.4377880184331797,8.042692307692308,13.510656682027651,0.6798674082192095,-0.14410624826792295,-0.24207938978602983,-0.18423709227280655,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Beach,LINE MAN,Morning,12,12,52,12,28.75,23.25,418.27000000000004,389.8658333333333,28.40416666666674,382.20000000000005,4.333333333333333,2.3958333333333335,0.808695652173913,8.043653846153846,13.560550724637679,0.685869504581154,0.07285626038017368,0.122826147592759,0.07431754753183342,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Central,Grab,Afternoon,6,6,43,6,30.5,12.5,465.03200000000015,511.055,-46.02299999999987,316.05000000000007,7.166666666666667,5.083333333333333,0.4098360655737705,10.814697674418609,16.755901639344263,0.5493638512872296,-0.09005488646036108,-0.13952778571345914,-0.1456193640246792,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,Grab,Dinner,8,8,48,8,43.0,5.0,520.792,720.29,-199.49799999999996,352.80000000000007,6.0,5.375,0.11627906976744184,10.849833333333335,16.75093023255814,0.5438882532043323,-0.2769689985977869,-0.42760918343689047,-0.5654705215419499,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,Grab,Late Evening,4,4,37,4,33.0,4.0,403.11800000000005,552.365,-149.24699999999996,271.95000000000005,9.25,8.25,0.1212121212121211,10.895081081081083,16.738333333333333,0.5363202172399477,-0.2701963375666452,-0.4151080960278266,-0.5488030888030886,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,Grab,Late Night,5,5,13,5,14.0,-1.0,141.25200000000004,234.87,-93.61799999999995,95.55000000000001,2.6,2.8,-0.0714285714285714,10.865538461538465,16.77642857142857,0.5440034224547006,-0.3985949674287902,-0.615431993883272,-0.9797802197802191,REDUCE / PAUSE BLANKET USE
RC101,Guava,Pattaya_Central,Grab,Lunch,8,8,69,8,61.0,8.0,743.6160000000002,1017.7300000000001,-274.114,507.1500000000001,8.625,7.625,0.13114754098360648,10.777043478260873,16.68409836065574,0.5481146006611552,-0.2693386261582147,-0.41696705967754877,-0.5404988662131518,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,Grab,Morning,9,9,31,9,23.0,8.0,334.83400000000006,385.595,-50.760999999999925,227.85000000000005,3.4444444444444446,2.5555555555555554,0.34782608695652173,10.80109677419355,16.765,0.5521571883381018,-0.13164330450342965,-0.20433110138158006,-0.22278253236778545,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,LINE MAN,Afternoon,12,12,107,12,60.333333333333336,46.666666666666664,881.9350000000001,825.9050000000001,56.02999999999995,786.4500000000002,8.916666666666666,5.027777777777778,0.7734806629834254,8.242383177570094,13.689033149171271,0.6608100902689267,0.06784073228761178,0.11267057271449876,0.07124419861402498,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Central,LINE MAN,Dinner,15,15,89,15,75.0,14.0,733.285,1024.035,-290.7500000000001,654.1500000000001,5.933333333333334,5.0,0.18666666666666676,8.239157303370787,13.6538,0.657184041675474,-0.28392584237843443,-0.4705173750088072,-0.444469922800581,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,LINE MAN,Late Evening,7,7,81,7,40.5,40.5,668.615,549.2466666666668,119.36833333333323,595.3500000000001,11.571428571428571,5.785714285714286,1.0,8.254506172839505,13.561646090534982,0.6429385121981015,0.21733101096046692,0.3570614878018985,0.20050110579211086,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Central,LINE MAN,Late Night,13,13,28,13,22.333333333333336,5.666666666666666,234.14000000000001,303.2316666666667,-69.09166666666665,205.80000000000004,2.1538461538461537,1.717948717948718,0.25373134328358193,8.362142857142858,13.577537313432835,0.6236911453665299,-0.2278510929487355,-0.369959802082948,-0.3357223841917718,OPTIMIZE / TARGET ONLY
RC101,Guava,Pattaya_Central,LINE MAN,Lunch,15,15,152,15,83.83333333333333,68.16666666666667,1261.39,1144.2150000000001,117.17499999999995,1117.2000000000003,10.133333333333333,5.588888888888889,0.8131212723658052,8.298618421052632,13.648687872763421,0.6446939936578218,0.1024064533326341,0.16842727870798346,0.10488274257071242,KEEP / SCALE SELECTIVELY
RC101,Guava,Pattaya_Central,LINE MAN,Morning,16,16,63,16,37.666666666666664,25.333333333333332,521.195,517.4333333333334,3.7616666666666774,463.05000000000007,3.9375,2.3541666666666665,0.6725663716814161,8.272936507936508,13.737168141592923,0.6604948108104531,0.007269857630612719,0.01207156087096295,0.008123672749523112,KEEP / SCALE SELECTIVELY
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Afternoon,6,6,22,6,14.0,8.0,149.36799999999997,229.66000000000003,-80.29200000000006,293.6999999999999,3.6666666666666665,2.3333333333333335,0.5714285714285714,6.789454545454544,16.404285714285717,1.4161419160347988,-0.34961247060872613,-0.8447133446062274,-0.2733810010214508,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Dinner,8,8,22,8,19.0,3.0,142.46800000000005,297.96000000000004,-155.49199999999996,293.6999999999999,2.75,2.375,0.1578947368421053,6.475818181818184,15.682105263157897,1.421640759956437,-0.5218552825882667,-1.2637460231143316,-0.5294245829077291,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Late Evening,2,2,5,2,5.0,0.0,38.72000000000001,94.75000000000001,-56.03,66.74999999999997,2.5,2.5,0.0,7.744000000000002,18.950000000000003,1.4470557851239665,-0.5913456464379947,-1.4470557851239665,-0.8394007490636708,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Late Night,1,1,1,1,1.0,0.0,7.744000000000003,18.950000000000003,-11.206,13.349999999999994,1.0,1.0,0.0,7.744000000000003,18.950000000000003,1.447055785123966,-0.5913456464379946,-1.447055785123966,-0.8394007490636707,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Lunch,7,7,25,7,18.0,7.0,179.5,325.02000000000004,-145.52000000000004,333.7499999999999,3.5714285714285716,2.5714285714285716,0.38888888888888884,7.18,18.05666666666667,1.5148560817084498,-0.4477262937665375,-1.125967192819561,-0.4360149812734085,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,Grab,Morning,4,4,6,4,5.0,1.0,37.364000000000004,57.82000000000001,-20.455999999999996,80.09999999999997,1.5,1.25,0.19999999999999996,6.227333333333334,11.564000000000002,0.8569746279841559,-0.35378761674161185,-0.656974627984156,-0.25538077403245946,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Afternoon,7,7,13,7,9.0,4.0,-13.694999999999943,53.59000000000001,-67.28499999999995,173.54999999999993,1.8571428571428572,1.2857142857142858,0.4444444444444444,-1.053461538461534,5.954444444444445,,-1.2555514088449327,,-0.38769806972054155,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Dinner,10,10,16,10,18.0,-2.0,5.81000000000005,127.79000000000003,-121.97999999999998,213.5999999999999,1.6,1.8,-0.11111111111111116,0.36312500000000314,7.099444444444447,18.550965767833073,-0.9545347836293916,-18.662076878944184,-0.5710674157303373,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Late Evening,8,8,25,8,12.5,12.5,-41.53499999999997,78.12500000000001,-119.65999999999997,333.7499999999999,3.125,1.5625,1.0,-1.6613999999999987,6.250000000000001,,-1.5316479999999995,,-0.3585318352059925,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Late Night,1,1,1,1,1.0,0.0,4.505000000000003,12.110000000000005,-7.605000000000002,13.349999999999994,1.0,1.0,0.0,4.505000000000003,12.110000000000005,1.6881243063263036,-0.6279933938893476,-1.6881243063263036,-0.569662921348315,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Lunch,11,11,31,11,20.5,10.5,-27.44500000000005,168.83,-196.27500000000006,413.8499999999998,2.8181818181818183,1.8636363636363635,0.5121951219512195,-0.8853225806451629,8.235609756097562,,-1.1625599715690342,,-0.47426603841971765,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Ladprao,LINE MAN,Morning,8,8,14,8,16.0,-2.0,5.240000000000002,147.99500000000003,-142.75500000000002,186.89999999999992,1.75,2.0,-0.125,0.37428571428571444,9.249687500000002,23.71290553435114,-0.9645933984256225,-23.83790553435114,-0.7638041733547356,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Afternoon,8,8,26,8,18.5,7.5,144.984,261.34000000000003,-116.35600000000001,347.09999999999985,3.25,2.3125,0.4054054054054055,5.576307692307693,14.126486486486488,1.5333047001644915,-0.44522843805004975,-1.127899294759086,-0.33522327859406525,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Dinner,7,7,34,7,15.833333333333334,18.166666666666664,223.56599999999997,231.85416666666669,-8.288166666666712,453.8999999999998,4.857142857142857,2.261904761904762,1.1473684210526316,6.5754705882352935,14.64342105263158,1.2269768917879897,-0.03574732680384596,-0.07960847073535815,-0.018259895718587167,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Late Evening,5,5,9,5,13.0,-4.0,33.43599999999999,178.35333333333335,-144.91733333333335,120.14999999999995,1.8,2.6,-0.3076923076923077,3.7151111111111104,13.719487179487182,2.6928874451305376,-0.8125294359511084,-3.000579752822845,-1.206136773477598,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Late Night,5,5,9,5,6.0,3.0,55.20599999999999,87.70666666666668,-32.50066666666669,120.14999999999995,1.8,1.2,0.5,6.133999999999999,14.61777777777778,1.3830743035177346,-0.3705609607783523,-0.8830743035177346,-0.2705007629352202,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Lunch,9,9,28,9,22.833333333333336,5.166666666666666,165.75199999999998,324.4166666666667,-158.66466666666673,373.79999999999984,3.111111111111111,2.537037037037037,0.22627737226277356,5.919714285714285,14.208029197080291,1.4001207678836347,-0.48907680452093505,-1.1738433956208612,-0.4244640627786699,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,Grab,Morning,5,5,15,5,8.0,7.0,92.58999999999999,121.82000000000002,-29.230000000000025,200.24999999999991,3.0,1.6,0.875,6.172666666666666,15.227500000000003,1.4669240738740692,-0.23994417993761308,-0.5919240738740692,-0.14596754057428232,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Afternoon,10,10,39,10,17.5,21.5,0.2650000000000965,156.42000000000002,-156.15499999999992,520.6499999999997,3.9,1.75,1.2285714285714286,0.006794871794874269,8.938285714285715,1314.445822101947,-0.9983058432425514,-1313.2172506733755,-0.2999231729568808,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Dinner,14,14,48,14,31.5,16.5,12.120000000000118,236.02,-223.8999999999999,640.7999999999997,3.4285714285714284,2.25,0.5238095238095237,0.25250000000000244,7.492698412698413,28.67405311959739,-0.948648419625455,-28.150243595787863,-0.34940699126092384,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Late Evening,6,6,31,6,19.0,12.0,46.35499999999998,200.88500000000005,-154.53000000000006,413.8499999999998,5.166666666666667,3.1666666666666665,0.631578947368421,1.4953225806451607,10.572894736842107,6.070644738261363,-0.7692460860691441,-5.439065790892942,-0.3733961580282714,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Late Night,3,3,3,3,3.0,0.0,4.915000000000013,34.870000000000005,-29.95499999999999,40.04999999999998,1.0,1.0,0.0,1.6383333333333379,11.623333333333335,6.094608341810765,-0.8590478921709201,-6.094608341810765,-0.7479400749063672,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Lunch,14,14,65,14,42.5,22.5,22.485000000000042,422.8450000000001,-400.36,867.7499999999997,4.642857142857143,3.0357142857142856,0.5294117647058822,0.34592307692307755,9.94929411764706,27.761579615168234,-0.9468244865139708,-27.232167850462353,-0.4613771247479115,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,BKK_Sukhumvit,LINE MAN,Morning,7,7,9,7,12.5,-3.5,15.425000000000027,148.165,-132.73999999999995,120.14999999999995,1.2857142857142858,1.7857142857142858,-0.28,1.713888888888892,11.8532,5.9159675850891285,-0.8958930921607665,-6.195967585089129,-1.1047856845609656,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Afternoon,14,14,54,14,41.0,13.0,308.076,626.565,-318.48900000000003,720.8999999999996,3.857142857142857,2.9285714285714284,0.3170731707317074,5.705111111111112,15.282073170731708,1.6786635480190348,-0.5083095927796797,-1.3615903772873275,-0.4417935913441534,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Dinner,21,21,67,21,58.0,9.0,395.95799999999997,868.46,-472.5020000000002,894.4499999999996,3.1904761904761907,2.761904761904762,0.15517241379310343,5.909820895522388,14.97344827586207,1.5336551717170983,-0.5440688114593649,-1.3784827579239949,-0.5282598244731403,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Late Evening,11,11,40,11,33.0,7.0,236.5999999999999,476.0200000000001,-239.42000000000016,533.9999999999998,3.6363636363636362,3.0,0.21212121212121215,5.914999999999997,14.424848484848487,1.438689515612594,-0.5029620604176298,-1.226568303491382,-0.44835205992509414,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Late Night,2,2,5,2,4.0,1.0,35.2,61.73500000000001,-26.535,66.74999999999997,2.5,2.0,0.25,7.040000000000001,15.433750000000002,1.1922940340909092,-0.4298210091520207,-0.9422940340909092,-0.3975280898876406,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Lunch,19,19,74,19,55.0,19.0,404.496,870.205,-465.70900000000006,987.8999999999996,3.8947368421052633,2.8947368421052633,0.34545454545454546,5.466162162162162,15.821909090909092,1.8945187906117065,-0.5351715974971416,-1.549064245157161,-0.4714130984917504,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,Grab,Morning,15,15,28,15,19.5,8.5,147.24200000000005,273.125,-125.88299999999997,373.79999999999984,1.8666666666666667,1.3,0.4358974358974359,5.258642857142859,14.006410256410257,1.6635028536659857,-0.46089885583524015,-1.2276054177685498,-0.3367656500802569,OPTIMIZE / TARGET ONLY
RC101,MixedBerryPremium,Pattaya_Beach,LINE MAN,Afternoon,2,2,2,2,4.0,-2.0,-11.029999999999987,23.11999999999999,-34.14999999999998,26.69999999999999,1.0,2.0,-0.5,-5.5149999999999935,5.779999999999998,,-1.4770761245674737,,-1.279026217228464,REDUCE / PAUSE BLANKET USE
RC101,MixedBerryPremium,Pattaya_Beach,LINE MAN,Dinner,2,2,4,2,3.0,1.0,-22.059999999999995,17.339999999999993,-39.39999999999999,53.39999999999998,2.0,1.5,0.33333333333333326,-5.514999999999999,5.779999999999998,,-2.2722029988465975,,-0.7378277153558054,OPTIMIZE / TARGET ONLY
