source_row_id,date,kitchen,sku,units_wasted,est_waste_cost_thb,week_start,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,base_price_thb,fruit_cost_raw_thb,fruit_cost_used_thb,waste_cost_raw_thb,waste_cost_status
41,2025-09-03,BKK_Sukhumvit,Watermelon,6,85.32,2025-09-01,6,5,45.0,8.22,8.22,85.32,observed_estimated_cost
42,2025-09-03,Pattaya_Beach,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
43,2025-09-03,Pattaya_Beach,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
44,2025-09-03,Pattaya_Beach,Pineapple,6,95.28,2025-09-01,6,5,49.0,9.88,9.88,95.28,observed_estimated_cost
45,2025-09-03,Pattaya_Beach,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
46,2025-09-03,Pattaya_Central,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
47,2025-09-03,Pattaya_Central,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
48,2025-09-03,Pattaya_Central,Pineapple,5,79.4,2025-09-01,6,5,49.0,9.88,9.88,79.4,observed_estimated_cost
49,2025-09-03,Pattaya_Central,Watermelon,2,28.44,2025-09-01,6,5,45.0,8.22,8.22,28.44,observed_estimated_cost
50,2025-09-04,BKK_Ladprao,Guava,1,15.65,2025-09-01,6,5.5,49.0,9.65,9.65,15.65,observed_estimated_cost
51,2025-09-04,BKK_Ladprao,PassionFruit,1,24.98,2025-09-01,6,6,65.0,18.98,18.98,24.98,observed_estimated_cost
52,2025-09-04,BKK_Ladprao,Pineapple,3,47.64,2025-09-01,6,5,49.0,9.88,9.88,47.64,observed_estimated_cost
53,2025-09-04,BKK_Ladprao,Watermelon,3,42.66,2025-09-01,6,5,45.0,8.22,8.22,42.66,observed_estimated_cost
54,2025-09-04,BKK_Sukhumvit,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
55,2025-09-04,BKK_Sukhumvit,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
56,2025-09-04,BKK_Sukhumvit,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
57,2025-09-04,BKK_Sukhumvit,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
58,2025-09-04,Pattaya_Beach,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
59,2025-09-04,Pattaya_Beach,PassionFruit,1,24.98,2025-09-01,6,6,65.0,18.98,18.98,24.98,observed_estimated_cost
60,2025-09-04,Pattaya_Beach,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
61,2025-09-04,Pattaya_Beach,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
62,2025-09-04,Pattaya_Central,Guava,5,78.25,2025-09-01,6,5.5,49.0,9.65,9.65,78.25,observed_estimated_cost
63,2025-09-04,Pattaya_Central,PassionFruit,5,124.9,2025-09-01,6,6,65.0,18.98,18.98,124.9,observed_estimated_cost
64,2025-09-04,Pattaya_Central,Pineapple,7,111.16,2025-09-01,6,5,49.0,9.88,9.88,111.16,observed_estimated_cost
65,2025-09-04,Pattaya_Central,Watermelon,1,14.22,2025-09-01,6,5,45.0,8.22,8.22,14.22,observed_estimated_cost
66,2025-09-05,BKK_Ladprao,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
67,2025-09-05,BKK_Ladprao,PassionFruit,6,149.88,2025-09-01,6,6,65.0,18.98,18.98,149.88,observed_estimated_cost
68,2025-09-05,BKK_Ladprao,Pineapple,7,111.16,2025-09-01,6,5,49.0,9.88,9.88,111.16,observed_estimated_cost
69,2025-09-05,BKK_Ladprao,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
70,2025-09-05,BKK_Sukhumvit,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
71,2025-09-05,BKK_Sukhumvit,PassionFruit,5,124.9,2025-09-01,6,6,65.0,18.98,18.98,124.9,observed_estimated_cost
72,2025-09-05,BKK_Sukhumvit,Pineapple,7,111.16,2025-09-01,6,5,49.0,9.88,9.88,111.16,observed_estimated_cost
73,2025-09-05,BKK_Sukhumvit,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
74,2025-09-05,Pattaya_Beach,Guava,4,62.6,2025-09-01,6,5.5,49.0,9.65,9.65,62.6,observed_estimated_cost
75,2025-09-05,Pattaya_Beach,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
76,2025-09-05,Pattaya_Beach,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
77,2025-09-05,Pattaya_Beach,Watermelon,3,42.66,2025-09-01,6,5,45.0,8.22,8.22,42.66,observed_estimated_cost
78,2025-09-05,Pattaya_Central,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
79,2025-09-05,Pattaya_Central,PassionFruit,6,149.88,2025-09-01,6,6,65.0,18.98,18.98,149.88,observed_estimated_cost
80,2025-09-05,Pattaya_Central,Pineapple,11,174.68,2025-09-01,6,5,49.0,9.88,9.88,174.68,observed_estimated_cost
81,2025-09-05,Pattaya_Central,Watermelon,6,85.32,2025-09-01,6,5,45.0,8.22,8.22,85.32,observed_estimated_cost
82,2025-09-06,BKK_Ladprao,Guava,4,62.6,2025-09-01,6,5.5,49.0,9.65,9.65,62.6,observed_estimated_cost
83,2025-09-06,BKK_Ladprao,PassionFruit,2,49.96,2025-09-01,6,6,65.0,18.98,18.98,49.96,observed_estimated_cost
84,2025-09-06,BKK_Ladprao,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
85,2025-09-06,BKK_Ladprao,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
86,2025-09-06,BKK_Sukhumvit,Guava,1,15.65,2025-09-01,6,5.5,49.0,9.65,9.65,15.65,observed_estimated_cost
87,2025-09-06,BKK_Sukhumvit,PassionFruit,5,124.9,2025-09-01,6,6,65.0,18.98,18.98,124.9,observed_estimated_cost
88,2025-09-06,BKK_Sukhumvit,Pineapple,5,79.4,2025-09-01,6,5,49.0,9.88,9.88,79.4,observed_estimated_cost
89,2025-09-06,BKK_Sukhumvit,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
90,2025-09-06,Pattaya_Beach,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
91,2025-09-06,Pattaya_Beach,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
92,2025-09-06,Pattaya_Beach,Pineapple,6,95.28,2025-09-01,6,5,49.0,9.88,9.88,95.28,observed_estimated_cost
93,2025-09-06,Pattaya_Beach,Watermelon,6,85.32,2025-09-01,6,5,45.0,8.22,8.22,85.32,observed_estimated_cost
94,2025-09-06,Pattaya_Central,Guava,5,78.25,2025-09-01,6,5.5,49.0,9.65,9.65,78.25,observed_estimated_cost
95,2025-09-06,Pattaya_Central,PassionFruit,8,199.84,2025-09-01,6,6,65.0,18.98,18.98,199.84,observed_estimated_cost
96,2025-09-06,Pattaya_Central,Pineapple,7,111.16,2025-09-01,6,5,49.0,9.88,9.88,111.16,observed_estimated_cost
97,2025-09-06,Pattaya_Central,Watermelon,7,99.54,2025-09-01,6,5,45.0,8.22,8.22,99.54,observed_estimated_cost
98,2025-09-07,BKK_Ladprao,Guava,3,46.95,2025-09-01,6,5.5,49.0,9.65,9.65,46.95,observed_estimated_cost
99,2025-09-07,BKK_Ladprao,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
100,2025-09-07,BKK_Ladprao,Pineapple,5,79.4,2025-09-01,6,5,49.0,9.88,9.88,79.4,observed_estimated_cost
101,2025-09-07,BKK_Ladprao,Watermelon,5,71.1,2025-09-01,6,5,45.0,8.22,8.22,71.1,observed_estimated_cost
102,2025-09-07,BKK_Sukhumvit,Guava,2,31.3,2025-09-01,6,5.5,49.0,9.65,9.65,31.3,observed_estimated_cost
103,2025-09-07,BKK_Sukhumvit,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
104,2025-09-07,BKK_Sukhumvit,Pineapple,2,31.76,2025-09-01,6,5,49.0,9.88,9.88,31.76,observed_estimated_cost
105,2025-09-07,BKK_Sukhumvit,Watermelon,3,42.66,2025-09-01,6,5,45.0,8.22,8.22,42.66,observed_estimated_cost
106,2025-09-07,Pattaya_Beach,Guava,4,62.6,2025-09-01,6,5.5,49.0,9.65,9.65,62.6,observed_estimated_cost
107,2025-09-07,Pattaya_Beach,PassionFruit,3,74.94,2025-09-01,6,6,65.0,18.98,18.98,74.94,observed_estimated_cost
108,2025-09-07,Pattaya_Beach,Pineapple,4,63.52,2025-09-01,6,5,49.0,9.88,9.88,63.52,observed_estimated_cost
109,2025-09-07,Pattaya_Beach,Watermelon,3,42.66,2025-09-01,6,5,45.0,8.22,8.22,42.66,observed_estimated_cost
110,2025-09-07,Pattaya_Central,Guava,6,93.9,2025-09-01,6,5.5,49.0,9.65,9.65,93.9,observed_estimated_cost
111,2025-09-07,Pattaya_Central,PassionFruit,4,99.92,2025-09-01,6,6,65.0,18.98,18.98,99.92,observed_estimated_cost
112,2025-09-07,Pattaya_Central,Pineapple,5,79.4,2025-09-01,6,5,49.0,9.88,9.88,79.4,observed_estimated_cost
113,2025-09-07,Pattaya_Central,Watermelon,4,56.88,2025-09-01,6,5,45.0,8.22,8.22,56.88,observed_estimated_cost
114,2025-09-08,BKK_Ladprao,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
115,2025-09-08,BKK_Ladprao,PassionFruit,7,176.54,2025-09-08,6,6,65.0,19.22,19.22,176.54,observed_estimated_cost
116,2025-09-08,BKK_Ladprao,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
117,2025-09-08,BKK_Ladprao,Watermelon,3,41.04,2025-09-08,6,5,45.0,7.68,7.68,41.04,observed_estimated_cost
118,2025-09-08,BKK_Sukhumvit,Guava,2,30.94,2025-09-08,6,5.5,49.0,9.47,9.47,30.94,observed_estimated_cost
119,2025-09-08,BKK_Sukhumvit,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
120,2025-09-08,BKK_Sukhumvit,Pineapple,4,67.8,2025-09-08,6,5,49.0,10.95,10.95,67.8,observed_estimated_cost
121,2025-09-08,BKK_Sukhumvit,Watermelon,5,68.4,2025-09-08,6,5,45.0,7.68,7.68,68.4,observed_estimated_cost
122,2025-09-08,Pattaya_Beach,Guava,1,15.47,2025-09-08,6,5.5,49.0,9.47,9.47,15.47,observed_estimated_cost
123,2025-09-08,Pattaya_Beach,PassionFruit,3,75.66,2025-09-08,6,6,65.0,19.22,19.22,75.66,observed_estimated_cost
124,2025-09-08,Pattaya_Beach,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
125,2025-09-08,Pattaya_Beach,Watermelon,3,41.04,2025-09-08,6,5,45.0,7.68,7.68,41.04,observed_estimated_cost
126,2025-09-08,Pattaya_Central,Guava,2,30.94,2025-09-08,6,5.5,49.0,9.47,9.47,30.94,observed_estimated_cost
127,2025-09-08,Pattaya_Central,PassionFruit,2,50.44,2025-09-08,6,6,65.0,19.22,19.22,50.44,observed_estimated_cost
128,2025-09-08,Pattaya_Central,Pineapple,5,84.75,2025-09-08,6,5,49.0,10.95,10.95,84.75,observed_estimated_cost
129,2025-09-08,Pattaya_Central,Watermelon,4,54.72,2025-09-08,6,5,45.0,7.68,7.68,54.72,observed_estimated_cost
130,2025-09-09,BKK_Ladprao,Guava,5,77.35,2025-09-08,6,5.5,49.0,9.47,9.47,77.35,observed_estimated_cost
131,2025-09-09,BKK_Ladprao,PassionFruit,12,302.64,2025-09-08,6,6,65.0,19.22,19.22,302.64,observed_estimated_cost
132,2025-09-09,BKK_Ladprao,Pineapple,10,169.5,2025-09-08,6,5,49.0,10.95,10.95,169.5,observed_estimated_cost
133,2025-09-09,BKK_Ladprao,Watermelon,11,150.48,2025-09-08,6,5,45.0,7.68,7.68,150.48,observed_estimated_cost
134,2025-09-09,BKK_Sukhumvit,Guava,4,61.88,2025-09-08,6,5.5,49.0,9.47,9.47,61.88,observed_estimated_cost
135,2025-09-09,BKK_Sukhumvit,PassionFruit,9,226.98,2025-09-08,6,6,65.0,19.22,19.22,226.98,observed_estimated_cost
136,2025-09-09,BKK_Sukhumvit,Pineapple,8,135.6,2025-09-08,6,5,49.0,10.95,10.95,135.6,observed_estimated_cost
137,2025-09-09,BKK_Sukhumvit,Watermelon,6,82.08,2025-09-08,6,5,45.0,7.68,7.68,82.08,observed_estimated_cost
138,2025-09-09,Pattaya_Beach,Guava,5,77.35,2025-09-08,6,5.5,49.0,9.47,9.47,77.35,observed_estimated_cost
139,2025-09-09,Pattaya_Beach,PassionFruit,5,126.1,2025-09-08,6,6,65.0,19.22,19.22,126.1,observed_estimated_cost
140,2025-09-09,Pattaya_Beach,Pineapple,8,135.6,2025-09-08,6,5,49.0,10.95,10.95,135.6,observed_estimated_cost
141,2025-09-09,Pattaya_Beach,Watermelon,7,95.76,2025-09-08,6,5,45.0,7.68,7.68,95.76,observed_estimated_cost
142,2025-09-09,Pattaya_Central,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
143,2025-09-09,Pattaya_Central,PassionFruit,6,151.32,2025-09-08,6,6,65.0,19.22,19.22,151.32,observed_estimated_cost
144,2025-09-09,Pattaya_Central,Pineapple,9,152.55,2025-09-08,6,5,49.0,10.95,10.95,152.55,observed_estimated_cost
145,2025-09-09,Pattaya_Central,Watermelon,12,164.16,2025-09-08,6,5,45.0,7.68,7.68,164.16,observed_estimated_cost
146,2025-09-10,BKK_Ladprao,Guava,1,15.47,2025-09-08,6,5.5,49.0,9.47,9.47,15.47,observed_estimated_cost
147,2025-09-10,BKK_Ladprao,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
148,2025-09-10,BKK_Ladprao,Pineapple,3,50.85,2025-09-08,6,5,49.0,10.95,10.95,50.85,observed_estimated_cost
149,2025-09-10,BKK_Ladprao,Watermelon,4,54.72,2025-09-08,6,5,45.0,7.68,7.68,54.72,observed_estimated_cost
150,2025-09-10,BKK_Sukhumvit,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
151,2025-09-10,BKK_Sukhumvit,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
152,2025-09-10,BKK_Sukhumvit,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
153,2025-09-10,BKK_Sukhumvit,Watermelon,2,27.36,2025-09-08,6,5,45.0,7.68,7.68,27.36,observed_estimated_cost
154,2025-09-10,Pattaya_Beach,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
155,2025-09-10,Pattaya_Beach,PassionFruit,5,126.1,2025-09-08,6,6,65.0,19.22,19.22,126.1,observed_estimated_cost
156,2025-09-10,Pattaya_Beach,Pineapple,4,67.8,2025-09-08,6,5,49.0,10.95,10.95,67.8,observed_estimated_cost
157,2025-09-10,Pattaya_Beach,Watermelon,3,41.04,2025-09-08,6,5,45.0,7.68,7.68,41.04,observed_estimated_cost
158,2025-09-10,Pattaya_Central,Guava,4,61.88,2025-09-08,6,5.5,49.0,9.47,9.47,61.88,observed_estimated_cost
159,2025-09-10,Pattaya_Central,PassionFruit,2,50.44,2025-09-08,6,6,65.0,19.22,19.22,50.44,observed_estimated_cost
160,2025-09-10,Pattaya_Central,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
161,2025-09-10,Pattaya_Central,Watermelon,1,13.68,2025-09-08,6,5,45.0,7.68,7.68,13.68,observed_estimated_cost
162,2025-09-11,BKK_Ladprao,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
163,2025-09-11,BKK_Ladprao,PassionFruit,6,151.32,2025-09-08,6,6,65.0,19.22,19.22,151.32,observed_estimated_cost
164,2025-09-11,BKK_Ladprao,Pineapple,6,101.7,2025-09-08,6,5,49.0,10.95,10.95,101.7,observed_estimated_cost
165,2025-09-11,BKK_Ladprao,Watermelon,4,54.72,2025-09-08,6,5,45.0,7.68,7.68,54.72,observed_estimated_cost
166,2025-09-11,BKK_Sukhumvit,Guava,4,61.88,2025-09-08,6,5.5,49.0,9.47,9.47,61.88,observed_estimated_cost
167,2025-09-11,BKK_Sukhumvit,PassionFruit,3,75.66,2025-09-08,6,6,65.0,19.22,19.22,75.66,observed_estimated_cost
168,2025-09-11,BKK_Sukhumvit,Pineapple,5,84.75,2025-09-08,6,5,49.0,10.95,10.95,84.75,observed_estimated_cost
169,2025-09-11,BKK_Sukhumvit,Watermelon,4,54.72,2025-09-08,6,5,45.0,7.68,7.68,54.72,observed_estimated_cost
170,2025-09-11,Pattaya_Beach,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
171,2025-09-11,Pattaya_Beach,PassionFruit,6,151.32,2025-09-08,6,6,65.0,19.22,19.22,151.32,observed_estimated_cost
172,2025-09-11,Pattaya_Beach,Pineapple,3,50.85,2025-09-08,6,5,49.0,10.95,10.95,50.85,observed_estimated_cost
173,2025-09-11,Pattaya_Beach,Watermelon,5,68.4,2025-09-08,6,5,45.0,7.68,7.68,68.4,observed_estimated_cost
174,2025-09-11,Pattaya_Central,Guava,4,61.88,2025-09-08,6,5.5,49.0,9.47,9.47,61.88,observed_estimated_cost
175,2025-09-11,Pattaya_Central,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
176,2025-09-11,Pattaya_Central,Pineapple,5,84.75,2025-09-08,6,5,49.0,10.95,10.95,84.75,observed_estimated_cost
177,2025-09-11,Pattaya_Central,Watermelon,2,27.36,2025-09-08,6,5,45.0,7.68,7.68,27.36,observed_estimated_cost
178,2025-09-12,BKK_Ladprao,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
179,2025-09-12,BKK_Ladprao,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
180,2025-09-12,BKK_Ladprao,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
181,2025-09-12,BKK_Ladprao,Watermelon,7,95.76,2025-09-08,6,5,45.0,7.68,7.68,95.76,observed_estimated_cost
182,2025-09-12,BKK_Sukhumvit,PassionFruit,2,50.44,2025-09-08,6,6,65.0,19.22,19.22,50.44,observed_estimated_cost
183,2025-09-12,BKK_Sukhumvit,Pineapple,3,50.85,2025-09-08,6,5,49.0,10.95,10.95,50.85,observed_estimated_cost
184,2025-09-12,BKK_Sukhumvit,Watermelon,5,68.4,2025-09-08,6,5,45.0,7.68,7.68,68.4,observed_estimated_cost
185,2025-09-12,Pattaya_Beach,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
186,2025-09-12,Pattaya_Beach,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
187,2025-09-12,Pattaya_Beach,Pineapple,3,50.85,2025-09-08,6,5,49.0,10.95,10.95,50.85,observed_estimated_cost
188,2025-09-12,Pattaya_Beach,Watermelon,6,82.08,2025-09-08,6,5,45.0,7.68,7.68,82.08,observed_estimated_cost
189,2025-09-12,Pattaya_Central,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
190,2025-09-12,Pattaya_Central,PassionFruit,4,100.88,2025-09-08,6,6,65.0,19.22,19.22,100.88,observed_estimated_cost
191,2025-09-12,Pattaya_Central,Pineapple,5,84.75,2025-09-08,6,5,49.0,10.95,10.95,84.75,observed_estimated_cost
192,2025-09-12,Pattaya_Central,Watermelon,5,68.4,2025-09-08,6,5,45.0,7.68,7.68,68.4,observed_estimated_cost
193,2025-09-13,BKK_Ladprao,Guava,4,61.88,2025-09-08,6,5.5,49.0,9.47,9.47,61.88,observed_estimated_cost
194,2025-09-13,BKK_Ladprao,PassionFruit,7,176.54,2025-09-08,6,6,65.0,19.22,19.22,176.54,observed_estimated_cost
195,2025-09-13,BKK_Ladprao,Pineapple,4,67.8,2025-09-08,6,5,49.0,10.95,10.95,67.8,observed_estimated_cost
196,2025-09-13,BKK_Ladprao,Watermelon,5,68.4,2025-09-08,6,5,45.0,7.68,7.68,68.4,observed_estimated_cost
197,2025-09-13,BKK_Sukhumvit,Guava,2,30.94,2025-09-08,6,5.5,49.0,9.47,9.47,30.94,observed_estimated_cost
198,2025-09-13,BKK_Sukhumvit,PassionFruit,5,126.1,2025-09-08,6,6,65.0,19.22,19.22,126.1,observed_estimated_cost
199,2025-09-13,BKK_Sukhumvit,Pineapple,2,33.9,2025-09-08,6,5,49.0,10.95,10.95,33.9,observed_estimated_cost
200,2025-09-13,BKK_Sukhumvit,Watermelon,3,41.04,2025-09-08,6,5,45.0,7.68,7.68,41.04,observed_estimated_cost
201,2025-09-13,Pattaya_Beach,Guava,3,46.41,2025-09-08,6,5.5,49.0,9.47,9.47,46.41,observed_estimated_cost
