week_start,sku,fruit_cost_per_cup_thb
2026-05-18,PassionFruit,17.72
2026-05-18,MixedBerryPremium,37.0
2026-05-25,Watermelon,7.24
2026-05-25,Pineapple,7.79
2026-05-25,Guava,9.59
2026-05-25,PassionFruit,19.28
2026-05-25,MixedBerryPremium,36.67
2026-06-01,Watermelon,8.36
2026-06-01,Pineapple,7.67
2026-06-01,Guava,10.38
2026-06-01,PassionFruit,26.69
2026-06-01,MixedBerryPremium,39.3
2026-06-08,Watermelon,7.73
2026-06-08,Pineapple,7.27
2026-06-08,Guava,10.22
2026-06-08,PassionFruit,29.67
2026-06-08,MixedBerryPremium,41.89
2026-06-15,Watermelon,8.2
2026-06-15,Pineapple,8.63
2026-06-15,Guava,11.16
2026-06-15,PassionFruit,27.75
2026-06-15,MixedBerryPremium,41.52
2026-06-22,Watermelon,8.22
2026-06-22,Pineapple,8.26
2026-06-22,Guava,10.09
2026-06-22,PassionFruit,26.03
2026-06-22,MixedBerryPremium,43.47
2026-06-29,Watermelon,7.81
2026-06-29,Pineapple,8.7
2026-06-29,Guava,9.81
2026-06-29,PassionFruit,26.15
2026-06-29,MixedBerryPremium,46.0
2026-07-06,Watermelon,7.72
2026-07-06,Pineapple,9.36
2026-07-06,Guava,10.56
2026-07-06,PassionFruit,29.19
2026-07-06,MixedBerryPremium,44.87
2026-07-13,Watermelon,7.85
2026-07-13,Pineapple,10.55
2026-07-13,Guava,11.33
2026-07-13,PassionFruit,27.68
2026-07-13,MixedBerryPremium,43.47
2026-07-20,Watermelon,7.61
2026-07-20,Pineapple,9.46
2026-07-20,Guava,9.59
2026-07-20,PassionFruit,28.39
2026-07-20,MixedBerryPremium,41.98
2026-07-27,Watermelon,8.01
2026-07-27,Pineapple,10.39
2026-07-27,Guava,10.52
2026-07-27,PassionFruit,26.46
2026-07-27,MixedBerryPremium,44.27
2026-08-03,Watermelon,8.17
2026-08-03,Pineapple,10.48
2026-08-03,Guava,9.59
2026-08-03,PassionFruit,26.15
2026-08-03,MixedBerryPremium,47.4
2026-08-10,Watermelon,7.92
2026-08-10,Pineapple,9.6
2026-08-10,Guava,10.33
2026-08-10,PassionFruit,28.33
2026-08-10,MixedBerryPremium,50.92
2026-08-17,Watermelon,7.83
2026-08-17,Pineapple,10.85
2026-08-17,Guava,9.37
2026-08-17,PassionFruit,27.9
2026-08-17,MixedBerryPremium,52.57
2026-08-24,Watermelon,7.68
2026-08-24,Pineapple,9.28
2026-08-24,Guava,10.18
2026-08-24,PassionFruit,29.56
2026-08-24,MixedBerryPremium,54.01
2026-08-31,Watermelon,8.35
2026-08-31,Pineapple,10.61
2026-08-31,Guava,10.28
2026-08-31,PassionFruit,28.83
2026-08-31,MixedBerryPremium,51.44
