date,kitchen,sku,units_sold,gross_revenue_thb,commission_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,product_margin_thb,contribution_before_waste_thb,realized_price_thb,week_start,month,units_wasted,est_waste_cost_thb,waste_cost_status,waste_cost_thb,contribution_after_waste_thb
2025-09-04,Pattaya_Beach,Pineapple,86,4214.0,1264.2,849.6800000000001,516,430,2418.3199999999997,1154.12,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,1090.6
2025-09-04,Pattaya_Beach,Watermelon,119,5355.0,1285.2,978.1800000000001,714,595,3067.82,1782.6200000000001,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,1725.74
2025-09-04,Pattaya_Central,Guava,58,2842.0,852.5999999999999,559.7,348,319.0,1615.3000000000002,762.6999999999999,49.0,2025-09-01,2025-09-01,5.0,78.25,observed_estimated_cost,78.25,684.4499999999999
2025-09-04,Pattaya_Central,PassionFruit,52,3380.0,811.1999999999999,986.96,312,312,1769.0399999999995,957.8399999999997,65.0,2025-09-01,2025-09-01,5.0,124.9,observed_estimated_cost,124.9,832.9399999999997
2025-09-04,Pattaya_Central,Pineapple,110,5390.0,1293.6,1086.8000000000002,660,550,3093.1999999999994,1799.5999999999997,49.0,2025-09-01,2025-09-01,7.0,111.16,observed_estimated_cost,111.16,1688.4399999999996
2025-09-04,Pattaya_Central,Watermelon,152,6840.0,2052.0,1249.44,912,760,3918.5600000000004,1866.5599999999995,45.0,2025-09-01,2025-09-01,1.0,14.22,observed_estimated_cost,14.22,1852.3399999999995
2025-09-05,BKK_Ladprao,Guava,29,1421.0,341.04,279.85,174,159.5,807.6500000000002,466.6100000000001,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,419.66000000000014
2025-09-05,BKK_Ladprao,PassionFruit,31,2015.0,604.5,588.38,186,186,1054.6199999999997,450.11999999999983,65.0,2025-09-01,2025-09-01,6.0,149.88,observed_estimated_cost,149.88,300.23999999999984
2025-09-05,BKK_Ladprao,Pineapple,86,3581.9,859.656,849.6800000000001,516,430,1786.2199999999996,926.564,41.65,2025-09-01,2025-09-01,7.0,111.16,observed_estimated_cost,111.16,815.404
2025-09-05,BKK_Ladprao,Watermelon,70,3150.0,945.0,575.4000000000001,420,350,1804.5999999999997,859.5999999999998,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,802.7199999999998
2025-09-05,BKK_Sukhumvit,Guava,51,2499.0,599.76,492.15000000000003,306,280.5,1420.3500000000001,820.5900000000001,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,789.2900000000002
2025-09-05,BKK_Sukhumvit,PassionFruit,41,2665.0,799.5,778.18,246,246,1394.8199999999997,595.3199999999998,65.0,2025-09-01,2025-09-01,5.0,124.9,observed_estimated_cost,124.9,470.41999999999985
2025-09-05,BKK_Sukhumvit,Pineapple,115,4789.75,1149.54,1136.2,690,575,2388.5499999999993,1239.0099999999998,41.65,2025-09-01,2025-09-01,7.0,111.16,observed_estimated_cost,111.16,1127.8499999999997
2025-09-05,BKK_Sukhumvit,Watermelon,131,5895.0,1768.5,1076.8200000000002,786,655,3377.1800000000003,1608.6799999999996,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1537.5799999999997
2025-09-05,Pattaya_Beach,Guava,75,3675.0,882.0,723.75,450,412.5,2088.75,1206.75,49.0,2025-09-01,2025-09-01,4.0,62.6,observed_estimated_cost,62.6,1144.15
2025-09-05,Pattaya_Beach,PassionFruit,45,2925.0,702.0,854.1,270,270,1530.8999999999994,828.8999999999997,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,728.9799999999998
2025-09-05,Pattaya_Beach,Pineapple,123,5122.95,1229.5079999999998,1215.24,738,615,2554.709999999999,1325.2019999999993,41.65,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,1261.6819999999993
2025-09-05,Pattaya_Beach,Watermelon,146,6570.0,1576.8,1200.1200000000001,876,730,3763.88,2187.0800000000004,45.0,2025-09-01,2025-09-01,3.0,42.66,observed_estimated_cost,42.66,2144.4200000000005
2025-09-05,Pattaya_Central,Guava,69,3381.0,1014.3,665.85,414,379.5,1921.6500000000003,907.3500000000001,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,860.4000000000001
2025-09-05,Pattaya_Central,PassionFruit,58,3770.0,904.8,1100.84,348,348,1973.1599999999994,1068.36,65.0,2025-09-01,2025-09-01,6.0,149.88,observed_estimated_cost,149.88,918.4799999999999
2025-09-05,Pattaya_Central,Pineapple,159,6622.35,1986.705,1570.92,954,795,3302.4299999999994,1315.7249999999997,41.650000000000006,2025-09-01,2025-09-01,11.0,174.68,observed_estimated_cost,174.68,1141.0449999999996
2025-09-05,Pattaya_Central,Watermelon,151,6795.0,1630.8,1241.22,906,755,3892.78,2261.98,45.0,2025-09-01,2025-09-01,6.0,85.32,observed_estimated_cost,85.32,2176.66
2025-09-06,BKK_Ladprao,Guava,43,2107.0,505.68,414.95000000000005,258,236.5,1197.55,691.8700000000001,49.0,2025-09-01,2025-09-01,4.0,62.6,observed_estimated_cost,62.6,629.2700000000001
2025-09-06,BKK_Ladprao,PassionFruit,20,1300.0,390.0,379.6,120,120,680.3999999999999,290.4,65.0,2025-09-01,2025-09-01,2.0,49.96,observed_estimated_cost,49.96,240.43999999999997
2025-09-06,BKK_Ladprao,Pineapple,47,2303.0,552.72,464.36,282,235,1321.6399999999999,768.9200000000001,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,705.4000000000001
2025-09-06,BKK_Ladprao,Watermelon,82,3690.0,885.5999999999999,674.0400000000001,492,410,2113.96,1228.3600000000001,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1157.2600000000002
2025-09-06,BKK_Sukhumvit,Guava,49,2401.0,576.24,472.85,294,269.5,1364.6500000000003,788.4100000000002,49.0,2025-09-01,2025-09-01,1.0,15.65,observed_estimated_cost,15.65,772.7600000000002
2025-09-06,BKK_Sukhumvit,PassionFruit,47,3055.0,916.5,892.06,282,282,1598.9399999999996,682.4399999999999,65.0,2025-09-01,2025-09-01,5.0,124.9,observed_estimated_cost,124.9,557.54
2025-09-06,BKK_Sukhumvit,Pineapple,91,4459.0,1070.16,899.08,546,455,2558.919999999999,1488.7599999999998,49.0,2025-09-01,2025-09-01,5.0,79.4,observed_estimated_cost,79.4,1409.3599999999997
2025-09-06,BKK_Sukhumvit,Watermelon,115,5175.0,1552.5,945.3000000000001,690,575,2964.7,1412.1999999999994,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,1355.3199999999993
2025-09-06,Pattaya_Beach,Guava,80,3920.0,1176.0,772.0,480,440.0,2228.0,1052.0,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,1005.05
2025-09-06,Pattaya_Beach,PassionFruit,50,3250.0,975.0,949.0,300,300,1700.9999999999995,726.0,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,651.06
2025-09-06,Pattaya_Beach,Pineapple,129,6321.0,1517.04,1274.52,774,645,3627.479999999999,2110.44,49.0,2025-09-01,2025-09-01,6.0,95.28,observed_estimated_cost,95.28,2015.16
2025-09-06,Pattaya_Beach,Watermelon,164,7380.0,1771.1999999999998,1348.0800000000002,984,820,4227.92,2456.7200000000007,45.0,2025-09-01,2025-09-01,6.0,85.32,observed_estimated_cost,85.32,2371.4000000000005
2025-09-06,Pattaya_Central,Guava,92,4508.0,1081.9199999999998,887.8000000000001,552,506.0,2562.2,1480.2799999999997,49.0,2025-09-01,2025-09-01,5.0,78.25,observed_estimated_cost,78.25,1402.0299999999997
2025-09-06,Pattaya_Central,PassionFruit,69,4485.0,1345.5,1309.62,414,414,2347.3799999999997,1001.8799999999999,65.0,2025-09-01,2025-09-01,8.0,199.84,observed_estimated_cost,199.84,802.0399999999998
2025-09-06,Pattaya_Central,Pineapple,134,6566.0,1575.84,1323.92,804,670,3768.0799999999995,2192.2400000000002,49.0,2025-09-01,2025-09-01,7.0,111.16,observed_estimated_cost,111.16,2081.0800000000004
2025-09-06,Pattaya_Central,Watermelon,183,8235.0,1976.4,1504.2600000000002,1098,915,4717.74,2741.3400000000006,45.0,2025-09-01,2025-09-01,7.0,99.54,observed_estimated_cost,99.54,2641.8000000000006
2025-09-07,BKK_Ladprao,Guava,34,1666.0,499.79999999999995,328.1,204,187.0,946.9000000000002,447.0999999999999,49.0,2025-09-01,2025-09-01,3.0,46.95,observed_estimated_cost,46.95,400.1499999999999
2025-09-07,BKK_Ladprao,PassionFruit,22,1430.0,429.0,417.56,132,132,748.4399999999998,319.43999999999994,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,244.49999999999994
2025-09-07,BKK_Ladprao,Pineapple,65,3185.0,764.4,642.2,390,325,1827.7999999999995,1063.3999999999999,49.0,2025-09-01,2025-09-01,5.0,79.4,observed_estimated_cost,79.4,983.9999999999999
2025-09-07,BKK_Ladprao,Watermelon,93,4185.0,1255.5,764.46,558,465,2397.5400000000004,1142.04,45.0,2025-09-01,2025-09-01,5.0,71.1,observed_estimated_cost,71.1,1070.94
2025-09-07,BKK_Sukhumvit,Guava,48,2352.0,564.48,463.20000000000005,288,264.0,1336.8,772.32,49.0,2025-09-01,2025-09-01,2.0,31.3,observed_estimated_cost,31.3,741.0200000000001
2025-09-07,BKK_Sukhumvit,PassionFruit,45,2925.0,702.0,854.1,270,270,1530.8999999999996,828.9,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,728.98
2025-09-07,BKK_Sukhumvit,Pineapple,96,4704.0,1411.1999999999998,948.48,576,480,2699.5199999999995,1288.3199999999995,49.0,2025-09-01,2025-09-01,2.0,31.76,observed_estimated_cost,31.76,1256.5599999999995
2025-09-07,BKK_Sukhumvit,Watermelon,105,4725.0,1134.0,863.1,630,525,2706.8999999999996,1572.9,45.0,2025-09-01,2025-09-01,3.0,42.66,observed_estimated_cost,42.66,1530.24
2025-09-07,Pattaya_Beach,Guava,62,3038.0,911.4,598.3000000000001,372,341.0,1726.7000000000003,815.3000000000001,49.0,2025-09-01,2025-09-01,4.0,62.6,observed_estimated_cost,62.6,752.7
2025-09-07,Pattaya_Beach,PassionFruit,49,3185.0,764.4,930.02,294,294,1666.9799999999996,902.5799999999997,65.0,2025-09-01,2025-09-01,3.0,74.94,observed_estimated_cost,74.94,827.6399999999996
2025-09-07,Pattaya_Beach,Pineapple,109,5341.0,1281.84,1076.92,654,545,3065.079999999999,1783.24,49.0,2025-09-01,2025-09-01,4.0,63.52,observed_estimated_cost,63.52,1719.72
2025-09-07,Pattaya_Beach,Watermelon,158,7110.0,1706.3999999999999,1298.7600000000002,948,790,4073.2400000000002,2366.84,45.0,2025-09-01,2025-09-01,3.0,42.66,observed_estimated_cost,42.66,2324.1800000000003
2025-09-07,Pattaya_Central,Guava,84,4116.0,987.8399999999999,810.6,504,462.0,2339.4,1351.5600000000004,49.0,2025-09-01,2025-09-01,6.0,93.9,observed_estimated_cost,93.9,1257.6600000000003
2025-09-07,Pattaya_Central,PassionFruit,54,3510.0,842.4,1024.92,324,324,1837.0799999999995,994.68,65.0,2025-09-01,2025-09-01,4.0,99.92,observed_estimated_cost,99.92,894.76
2025-09-07,Pattaya_Central,Pineapple,122,5978.0,1434.72,1205.3600000000001,732,610,3430.639999999999,1995.9199999999998,49.0,2025-09-01,2025-09-01,5.0,79.4,observed_estimated_cost,79.4,1916.5199999999998
2025-09-07,Pattaya_Central,Watermelon,208,9360.0,2246.4,1709.7600000000002,1248,1040,5362.24,3115.8400000000006,45.0,2025-09-01,2025-09-01,4.0,56.88,observed_estimated_cost,56.88,3058.9600000000005
2025-09-08,BKK_Ladprao,Guava,29,1421.0,341.04,274.63,174,159.5,812.8699999999999,471.83,49.0,2025-09-08,2025-09-01,3.0,46.41,observed_estimated_cost,46.41,425.41999999999996
2025-09-08,BKK_Ladprao,PassionFruit,32,2080.0,624.0,615.04,192,192,1080.9599999999998,456.96000000000004,65.0,2025-09-08,2025-09-01,7.0,176.54,observed_estimated_cost,176.54,280.4200000000001
2025-09-08,BKK_Ladprao,Pineapple,43,2107.0,632.0999999999999,470.84999999999997,258,215,1163.1499999999994,531.0500000000002,49.0,2025-09-08,2025-09-01,2.0,33.9,observed_estimated_cost,33.9,497.1500000000002
2025-09-08,BKK_Ladprao,Watermelon,85,3825.0,1147.5,652.8,510,425,2237.2000000000003,1089.7,45.0,2025-09-08,2025-09-01,3.0,41.04,observed_estimated_cost,41.04,1048.66
2025-09-08,BKK_Sukhumvit,Guava,62,3038.0,729.12,587.14,372,341.0,1737.8599999999997,1008.74,49.0,2025-09-08,2025-09-01,2.0,30.94,observed_estimated_cost,30.94,977.8
2025-09-08,BKK_Sukhumvit,PassionFruit,34,2210.0,663.0,653.48,204,204,1148.52,485.52,65.0,2025-09-08,2025-09-01,4.0,100.88,observed_estimated_cost,100.88,384.64
2025-09-08,BKK_Sukhumvit,Pineapple,86,4214.0,1264.2,941.6999999999999,516,430,2326.3,1062.1,49.0,2025-09-08,2025-09-01,4.0,67.8,observed_estimated_cost,67.8,994.3
2025-09-08,BKK_Sukhumvit,Watermelon,132,5940.0,1782.0,1013.76,792,660,3474.24,1692.2399999999998,45.0,2025-09-08,2025-09-01,5.0,68.4,observed_estimated_cost,68.4,1623.8399999999997
2025-09-08,Pattaya_Beach,Guava,52,2548.0,764.4,492.44000000000005,312,286.0,1457.56,693.1600000000001,49.0,2025-09-08,2025-09-01,1.0,15.47,observed_estimated_cost,15.47,677.69
2025-09-08,Pattaya_Beach,PassionFruit,38,2470.0,592.8,730.3599999999999,228,228,1283.6399999999999,690.8399999999999,65.0,2025-09-08,2025-09-01,3.0,75.66,observed_estimated_cost,75.66,615.18
2025-09-08,Pattaya_Beach,Pineapple,79,3871.0,1161.3,865.05,474,395,2136.95,975.65,49.0,2025-09-08,2025-09-01,2.0,33.9,observed_estimated_cost,33.9,941.75
2025-09-08,Pattaya_Beach,Watermelon,126,5670.0,1360.8,967.68,756,630,3316.3199999999993,1955.52,45.0,2025-09-08,2025-09-01,3.0,41.04,observed_estimated_cost,41.04,1914.48
2025-09-08,Pattaya_Central,Guava,59,2891.0,867.3,558.73,354,324.5,1653.77,786.4700000000001,49.0,2025-09-08,2025-09-01,2.0,30.94,observed_estimated_cost,30.94,755.5300000000001
2025-09-08,Pattaya_Central,PassionFruit,44,2860.0,858.0,845.68,264,264,1486.3199999999995,628.32,65.0,2025-09-08,2025-09-01,2.0,50.44,observed_estimated_cost,50.44,577.8800000000001
2025-09-08,Pattaya_Central,Pineapple,123,6027.0,1808.1,1346.85,738,615,3327.1499999999996,1519.0500000000004,49.0,2025-09-08,2025-09-01,5.0,84.75,observed_estimated_cost,84.75,1434.3000000000004
