week_start,sku,fruit_cost_per_cup_thb,fruit_cost_change_pct_vs_prior_week
2026-07-06,Guava,10.56,0.07645259938837912
2026-07-13,Guava,11.33,0.07291666666666652
2026-07-20,Guava,9.59,-0.15357458075904684
2026-07-27,Guava,10.52,0.09697601668404587
2026-08-03,Guava,9.59,-0.08840304182509506
2026-08-10,Guava,10.33,0.07716371220020868
2026-08-17,Guava,9.37,-0.09293320425943863
2026-08-24,Guava,10.18,0.08644610458911428
2026-08-31,Guava,10.28,0.009823182711198308
2026-03-02,MixedBerryPremium,33.69,
2026-03-09,MixedBerryPremium,34.54,0.02523003858711781
2026-03-16,MixedBerryPremium,34.75,0.006079907353792713
2026-03-23,MixedBerryPremium,34.89,0.004028776978417303
2026-03-30,MixedBerryPremium,33.62,-0.036400114646030435
2026-04-06,MixedBerryPremium,33.45,-0.005056513979773802
2026-04-13,MixedBerryPremium,35.19,0.05201793721973069
2026-04-20,MixedBerryPremium,36.04,0.024154589371980784
2026-04-27,MixedBerryPremium,36.3,0.007214206437291759
2026-05-04,MixedBerryPremium,37.1,0.02203856749311317
2026-05-11,MixedBerryPremium,38.75,0.04447439353099725
2026-05-18,MixedBerryPremium,37.0,-0.04516129032258065
2026-05-25,MixedBerryPremium,36.67,-0.008918918918918828
2026-06-01,MixedBerryPremium,39.3,0.07172075265884903
2026-06-08,MixedBerryPremium,41.89,0.06590330788804089
2026-06-15,MixedBerryPremium,41.52,-0.00883265695870128
2026-06-22,MixedBerryPremium,43.47,0.04696531791907499
2026-06-29,MixedBerryPremium,46.0,0.05820105820105814
2026-07-06,MixedBerryPremium,44.87,-0.02456521739130435
2026-07-13,MixedBerryPremium,43.47,-0.03120124804992197
2026-07-20,MixedBerryPremium,41.98,-0.034276512537382176
2026-07-27,MixedBerryPremium,44.27,0.054549785612196366
2026-08-03,MixedBerryPremium,47.4,0.07070250734131456
2026-08-10,MixedBerryPremium,50.92,0.07426160337552745
2026-08-17,MixedBerryPremium,52.57,0.03240377062058131
2026-08-24,MixedBerryPremium,54.01,0.027392048696975424
2026-08-31,MixedBerryPremium,51.44,-0.04758378078133685
2025-09-01,PassionFruit,18.98,
2025-09-08,PassionFruit,19.22,0.01264488935721797
2025-09-15,PassionFruit,19.6,0.019771071800208206
2025-09-22,PassionFruit,17.71,-0.09642857142857142
2025-09-29,PassionFruit,18.81,0.06211180124223592
2025-10-06,PassionFruit,19.51,0.0372142477405637
2025-10-13,PassionFruit,17.22,-0.11737570476678638
2025-10-20,PassionFruit,19.71,0.14459930313588854
2025-10-27,PassionFruit,17.61,-0.10654490106544912
2025-11-03,PassionFruit,18.91,0.07382169222032942
2025-11-10,PassionFruit,17.94,-0.05129561078794287
2025-11-17,PassionFruit,17.88,-0.0033444816053512794
2025-11-24,PassionFruit,17.12,-0.042505592841163176
2025-12-01,PassionFruit,19.21,0.12207943925233633
2025-12-08,PassionFruit,17.41,-0.09370119729307658
2025-12-15,PassionFruit,19.17,0.10109132682366462
2025-12-22,PassionFruit,17.92,-0.0652060511215441
2025-12-29,PassionFruit,18.2,0.015624999999999778
2026-01-05,PassionFruit,17.86,-0.018681318681318726
2026-01-12,PassionFruit,19.22,0.07614781634938406
2026-01-19,PassionFruit,17.55,-0.08688865764828291
2026-01-26,PassionFruit,18.35,0.04558404558404572
2026-02-02,PassionFruit,18.98,0.03433242506811984
2026-02-09,PassionFruit,18.8,-0.009483667017913588
2026-02-16,PassionFruit,19.7,0.0478723404255319
2026-02-23,PassionFruit,19.72,0.0010152284263960087
2026-03-02,PassionFruit,17.84,-0.09533468559837721
2026-03-09,PassionFruit,17.93,0.0050448430493272856
2026-03-16,PassionFruit,19.04,0.06190741773563846
2026-03-23,PassionFruit,17.33,-0.08981092436974791
2026-03-30,PassionFruit,17.49,0.009232544720138458
2026-04-06,PassionFruit,18.67,0.06746712407089794
2026-04-13,PassionFruit,18.4,-0.014461703267273918
2026-04-20,PassionFruit,19.63,0.0668478260869565
2026-04-27,PassionFruit,18.51,-0.0570555272542026
2026-05-04,PassionFruit,17.48,-0.05564559697460836
2026-05-11,PassionFruit,18.88,0.08009153318077789
2026-05-18,PassionFruit,17.72,-0.06144067796610175
2026-05-25,PassionFruit,19.28,0.08803611738149009
2026-06-01,PassionFruit,26.69,0.3843360995850622
2026-06-08,PassionFruit,29.67,0.11165230423379535
2026-06-15,PassionFruit,27.75,-0.06471183013144599
2026-06-22,PassionFruit,26.03,-0.061981981981981904
2026-06-29,PassionFruit,26.15,0.004610065309258449
2026-07-06,PassionFruit,29.19,0.11625239005736154
2026-07-13,PassionFruit,27.68,-0.05173004453579999
2026-07-20,PassionFruit,28.39,0.02565028901734112
2026-07-27,PassionFruit,26.46,-0.06798168369144064
2026-08-03,PassionFruit,26.15,-0.011715797430083219
2026-08-10,PassionFruit,28.33,0.08336520076481846
2026-08-17,PassionFruit,27.9,-0.015178256265443002
2026-08-24,PassionFruit,29.56,0.05949820788530458
2026-08-31,PassionFruit,28.83,-0.0246955345060893
2025-09-01,Pineapple,9.88,
2025-09-08,Pineapple,10.95,0.10829959514170029
2025-09-15,Pineapple,9.9,-0.09589041095890405
2025-09-22,Pineapple,10.65,0.07575757575757569
2025-09-29,Pineapple,9.13,-0.14272300469483568
2025-10-06,Pineapple,9.71,0.06352683461117192
2025-10-13,Pineapple,9.39,-0.032955715756951665
2025-10-20,Pineapple,10.37,0.10436634717784865
2025-10-27,Pineapple,9.74,-0.06075216972034703
2025-11-03,Pineapple,9.95,0.021560574948665145
2025-11-10,Pineapple,10.67,0.07236180904522627
2025-11-17,Pineapple,10.61,-0.005623242736644829
2025-11-24,Pineapple,9.28,-0.1253534401508012
2025-12-01,Pineapple,10.33,0.11314655172413812
2025-12-08,Pineapple,10.14,-0.01839303000968051
2025-12-15,Pineapple,9.94,-0.019723865877712132
2025-12-22,Pineapple,10.11,0.017102615694164935
2025-12-29,Pineapple,9.87,-0.023738872403560873
2026-01-05,Pineapple,9.47,-0.040526849037487156
2026-01-12,Pineapple,10.32,0.08975712777191136
2026-01-19,Pineapple,9.81,-0.04941860465116277
2026-01-26,Pineapple,9.18,-0.06422018348623859
2026-02-02,Pineapple,10.0,0.08932461873638342
2026-02-09,Pineapple,9.76,-0.02400000000000002
2026-02-16,Pineapple,9.18,-0.05942622950819676
2026-02-23,Pineapple,10.4,0.1328976034858389
2026-03-02,Pineapple,10.43,0.0028846153846153744
2026-03-09,Pineapple,9.91,-0.04985618408437198
2026-03-16,Pineapple,10.71,0.08072653884964698
2026-03-23,Pineapple,10.17,-0.050420168067226934
2026-03-30,Pineapple,9.99,-0.017699115044247815
2026-04-06,Pineapple,7.47,-0.25225225225225234
2026-04-13,Pineapple,7.24,-0.0307898259705488
2026-04-20,Pineapple,7.98,0.10220994475138134
2026-04-27,Pineapple,7.63,-0.04385964912280704
2026-05-04,Pineapple,8.52,0.11664482306684132
2026-05-11,Pineapple,8.28,-0.028169014084507116
2026-05-18,Pineapple,7.37,-0.10990338164251201
2026-05-25,Pineapple,7.79,0.056987788331071876
2026-06-01,Pineapple,7.67,-0.015404364569961526
2026-06-08,Pineapple,7.27,-0.052151238591916615
2026-06-15,Pineapple,8.63,0.1870701513067401
2026-06-22,Pineapple,8.26,-0.042873696407879636
2026-06-29,Pineapple,8.7,0.0532687651331718
2026-07-06,Pineapple,9.36,0.07586206896551717
2026-07-13,Pineapple,10.55,0.12713675213675235
2026-07-20,Pineapple,9.46,-0.10331753554502365
2026-07-27,Pineapple,10.39,0.09830866807610983
2026-08-03,Pineapple,10.48,0.008662175168431263
2026-08-10,Pineapple,9.6,-0.08396946564885499
2026-08-17,Pineapple,10.85,0.13020833333333326
2026-08-24,Pineapple,9.28,-0.14470046082949317
2026-08-31,Pineapple,10.61,0.14331896551724133
2025-09-01,Watermelon,8.22,
2025-09-08,Watermelon,7.68,-0.06569343065693445
2025-09-15,Watermelon,7.7,0.0026041666666667407
2025-09-22,Watermelon,8.12,0.05454545454545445
2025-09-29,Watermelon,8.04,-0.009852216748768461
2025-10-06,Watermelon,8.21,0.021144278606965328
2025-10-13,Watermelon,8.22,0.0012180267965895553
2025-10-20,Watermelon,7.72,-0.060827250608272654
2025-10-27,Watermelon,7.86,0.0181347150259068
2025-11-03,Watermelon,7.7,-0.020356234096692183
2025-11-10,Watermelon,7.95,0.032467532467532534
2025-11-17,Watermelon,8.27,0.040251572327044016
2025-11-24,Watermelon,8.15,-0.014510278113663788
2025-12-01,Watermelon,8.23,0.009815950920245342
2025-12-08,Watermelon,7.97,-0.0315917375455651
2025-12-15,Watermelon,8.13,0.020075282308657627
2025-12-22,Watermelon,8.11,-0.002460024600246191
2025-12-29,Watermelon,7.62,-0.06041923551171391
2026-01-05,Watermelon,8.28,0.0866141732283463
2026-01-12,Watermelon,7.83,-0.05434782608695643
2026-01-19,Watermelon,8.13,0.03831417624521083
2026-01-26,Watermelon,7.62,-0.0627306273062731
2026-02-02,Watermelon,7.73,0.014435695538057791
2026-02-09,Watermelon,7.96,0.02975420439844756
2026-02-16,Watermelon,7.89,-0.008793969849246297
2026-02-23,Watermelon,8.33,0.05576679340937907
2026-03-02,Watermelon,7.4,-0.11164465786314526
2026-03-09,Watermelon,7.49,0.012162162162162149
2026-03-16,Watermelon,6.97,-0.06942590120160219
2026-03-23,Watermelon,7.29,0.045911047345767564
2026-03-30,Watermelon,6.87,-0.057613168724279795
2026-04-06,Watermelon,7.26,0.05676855895196509
2026-04-13,Watermelon,7.27,0.0013774104683195176
2026-04-20,Watermelon,6.9,-0.05089408528198058
2026-04-27,Watermelon,7.18,0.04057971014492745
2026-05-04,Watermelon,6.86,-0.04456824512534807
2026-05-11,Watermelon,6.92,0.008746355685131046
2026-05-18,Watermelon,7.39,0.06791907514450868
2026-05-25,Watermelon,7.24,-0.020297699594045926
2026-06-01,Watermelon,8.36,0.1546961325966849
2026-06-08,Watermelon,7.73,-0.07535885167464107
2026-06-15,Watermelon,8.2,0.060802069857697205
2026-06-22,Watermelon,8.22,0.0024390243902441266
2026-06-29,Watermelon,7.81,-0.04987834549878356
2026-07-06,Watermelon,7.72,-0.011523687580025643
2026-07-13,Watermelon,7.85,0.01683937823834203
2026-07-20,Watermelon,7.61,-0.030573248407643194
2026-07-27,Watermelon,8.01,0.05256241787122207
2026-08-03,Watermelon,8.17,0.019975031210986316
2026-08-10,Watermelon,7.92,-0.030599755201958345
2026-08-17,Watermelon,7.83,-0.011363636363636354
2026-08-24,Watermelon,7.68,-0.019157088122605415
2026-08-31,Watermelon,8.35,0.08723958333333326
