kitchen,sku,units_sold,gross_revenue_thb,sold_fruit_cost_thb,sold_packaging_cost_thb,sold_labor_cost_thb,commission_thb,product_margin_thb,contribution_before_waste_thb,units_wasted,waste_cost_thb,contribution_after_waste_thb,realized_price_thb,revenue_per_cup_thb,fruit_cost_per_cup_thb,packaging_cost_per_cup_thb,labor_cost_per_cup_thb,commission_per_cup_thb,contribution_before_waste_per_cup_thb,contribution_after_waste_per_cup_thb,product_margin_pct,contribution_margin_pct,contribution_after_waste_margin_pct,waste_cost_pct_revenue,waste_rate,profit_layer,profit_rank,contribution_mix,cumulative_contribution_mix,top_20pct_flag
BKK_Ladprao,Pineapple,23933,1153733.91,224672.24,143598,119665.0,314190.5382,665798.67,351608.13180000003,1673.0,25793.33,325814.8018,48.20682363264112,48.20682363264112,9.387550244432374,6.0,5.0,13.127921205030711,14.69135218317804,13.613621434838926,0.57708165134888,0.30475669368164804,0.2824002995630076,0.022356394118640408,0.06533624931656642,Contribution after waste; overhead intentionally not allocated,11,0.04266395942744088,0.8602452202775273,False
Pattaya_Central,PassionFruit,26821,1711054.15,546349.07,160926,160926.0,470711.748,842853.08,372141.332,2368.0,62387.42,309753.912,63.79531523805973,63.79531523805973,20.37019760635323,6.0,6.0,17.550119234927855,13.874998396778643,11.548932254576638,0.49259287322964035,0.21749243412313982,0.18103103984172567,0.03646139428141418,0.08112645174552058,Contribution after waste; overhead intentionally not allocated,12,0.04056085930120285,0.9008060795787302,False
Pattaya_Beach,PassionFruit,22655,1446184.35,462566.15,135930,135930.0,396579.339,711758.2000000001,315178.861,2013.0,53397.909999999996,261780.95099999997,63.835107040388436,63.835107040388436,20.41783932906643,6.0,6.0,17.505157316265723,13.912110395056278,11.5551070845288,0.4921628421715392,0.2179382324252091,0.18101492454955687,0.03692330787565223,0.08160369709745419,Contribution after waste; overhead intentionally not allocated,13,0.03427901927916919,0.9350850988578994,False
BKK_Sukhumvit,PassionFruit,20057,1280316.7,408938.36,120342,120342.0,350082.603,630694.34,280611.737,1753.0,46488.0,234123.73700000002,63.833908361170664,63.833908361170664,20.388809891808346,6.0,6.0,17.4543851523159,13.990713317046419,11.672919030762328,0.49260807111240523,0.21917369116563115,0.18286392499605764,0.036309766169573515,0.08037597432370472,Contribution after waste; overhead intentionally not allocated,14,0.030657433490392273,0.9657425323482917,False
BKK_Ladprao,Guava,15141,727969.48,140838.79,90846,83275.5,199778.5566,413009.19,213230.63340000002,1294.0,19787.49,193443.14340000003,48.07935275080906,48.07935275080906,9.30181560002642,6.0,5.5,13.194541747572817,14.082995403209829,12.776114087576781,0.5673441007444433,0.2929115014547039,0.26572974377991787,0.02718175767478604,0.07873440827502282,Contribution after waste; overhead intentionally not allocated,15,0.0253304956556281,0.9910730280039197,False
BKK_Ladprao,PassionFruit,11883,758621.5,241954.25,71298,71298.0,206879.01,374071.25,167192.24,1709.0,45158.99,122033.25,63.84090717832197,63.84090717832197,20.3613775982496,6.0,6.0,17.409661701590508,14.069867878481864,10.269565766220651,0.4930933937411476,0.22038953549299617,0.16086183953394415,0.05952769595905204,0.1257357268981754,Contribution after waste; overhead intentionally not allocated,16,0.015979696435015525,1.0070527244389353,False
Pattaya_Central,MixedBerryPremium,9194,799696.15,351943.66,73552,64358.0,216890.4546,309842.49,92952.03540000001,2075.0,95980.31,-3028.2745999999897,86.98022079617142,86.98022079617142,38.27971068087883,8.0,7.0,23.59043447900805,10.110075636284535,-0.32937509245159774,0.38745027095603746,0.11623419144883967,-0.0037867815169548955,0.12002097296579456,0.18413346348389387,Contribution after waste; overhead intentionally not allocated,17,-0.00039653872063448204,1.006656185718301,False
Pattaya_Beach,MixedBerryPremium,7784,677538.31,298526.95,62272,54488.0,184918.593,262251.36,77332.767,1791.0,82902.37,-5569.602999999988,87.04243448098664,87.04243448098664,38.351355344295996,8.0,7.0,23.756242677286743,9.934836459403906,-0.7155193987666995,0.387064991203228,0.11413785148178558,-0.00822035140714034,0.12235820288892592,0.18704960835509138,Contribution after waste; overhead intentionally not allocated,18,-0.0007293140615656109,1.0059268716567353,False
BKK_Sukhumvit,MixedBerryPremium,6903,600264.06,264236.45,55224,48321.0,163175.55479999998,232482.61000000002,69307.05520000002,1630.0,75154.64,-5847.584799999982,86.95698392003477,86.95698392003477,38.27849485730842,8.0,7.0,23.638353585397653,10.0401354773287,-0.8471077502535104,0.3873005656877075,0.11546094430507801,-0.009741687350063873,0.1252026316551419,0.19102308683932967,Contribution after waste; overhead intentionally not allocated,19,-0.0007657145079886891,1.0051611571487467,False
BKK_Ladprao,MixedBerryPremium,4163,361628.36,158773.75,33304,29141.0,98924.6748,140409.61,41484.93520000001,1755.0,80899.5,-39414.56479999999,86.86724957963007,86.86724957963007,38.13926255104492,8.0,7.0,23.762833245255823,9.965153783329331,-9.467827239971173,0.3882704608676156,0.11471704044450498,-0.10899190760370672,0.2237089480482117,0.29655288948969244,Contribution after waste; overhead intentionally not allocated,20,-0.0051611571487463325,1.0000000000000002,False
